club_name,name,wage,age,pace,shooting,passing,dribbling,position,joined,contract,nationality,preferred_foot,international_reputation
Trabzonspor,Berat Ayberk Ã–zdemir,17000,23,69,61,69,70,CDM,2021-01-06,2025,Turkey,Right,1
LDU Quito,Lucas Ezequiel Piovi,1000,28,73,60,69,69,SUB,2021-08-02,2025,Argentina,Right,1
Olympique Lyonnais,Rayan Mathis Cherki,9000,17,72,67,68,81,SUB,2019-07-07,2023,France,Left,1
SC Braga,David Mota Veiga Teixeira Carmo,8000,21,38,28,44,44,SUB,2019-07-01,2025,Portugal,Left,1
FC PaÃ§os de Ferreira,JÃ³bson de Brito Gonzaga,9000,27,75,30,50,58,RCB,2019-07-01,2022,Brazil,Right,1
Rayo Vallecano,Randy Nteka,16000,23,75,72,65,73,SUB,2021-07-28,2026,France,Left,1
RB Leipzig,Brian Ebenezer Adjei Brobbey,31000,19,83,71,54,68,SUB,2021-07-01,2025,Netherlands,Right,1
FC Midtjylland,Paulo Victor da Silva,20000,26,85,64,67,71,LWB,2019-07-01,2026,Brazil,Left,1
Defensa y Justicia,Adonis Uriel FrÃ­as,10000,23,69,34,59,66,RCB,2016-09-16,2023,Argentina,Right,1
OGC Nice,Flavius David Daniliuc,16000,20,60,42,61,61,SUB,2020-07-01,2025,Austria,Right,1
Levante UniÃ³n Deportiva,Francisco Javier Hidalgo GÃ³mez,20000,27,84,50,64,71,RB,2020-08-04,2024,Spain,Right,1
Club AtlÃ©tico Independiente,Alan AgustÃ­n Velasco,4000,18,79,66,66,80,LM,2018-07-01,2023,Argentina,Right,1
Tigres U.A.N.L.,Leonardo Cecilio FernÃ¡ndez LÃ³pez,30000,22,74,72,72,74,SUB,2019-06-23,2024,Uruguay,Left,1
Bayer 04 Leverkusen,Jeremie Agyekum Frimpong,23000,20,91,50,65,77,RB,2021-01-27,2025,Netherlands,Right,1
Club Nacional de Football,Brian Alexis Ocampo Ferreira,1000,22,82,67,71,78,RM,2018-07-01,2021,Uruguay,Right,1
Barcelona Sporting Club,Byron David Castillo Segura,850,22,82,48,62,62,RB,2018-01-01,2025,Ecuador,Right,1
SK Rapid Wien,Ercan Kara,25000,25,75,75,51,61,ST,2020-01-27,2022,Austria,Right,1
AS Saint-Ã‰tienne,Yvann MaÃ§on,19000,22,86,50,62,72,RB,2020-01-31,2024,France,Right,1
FC Porto,Francisco Evanilson de Lima Barbosa,9000,21,72,75,58,69,SUB,2020-09-11,2025,Brazil,Right,1
Al Ahli,Alassane Ndao,26000,24,82,65,67,74,RM,2021-08-03,2024,Senegal,Right,1
Athletic Club de Bilbao,Jon Morcillo Conesa,18000,22,76,74,71,75,SUB,2016-07-01,2023,Spain,Left,1
Ajax,Devyne Fabian Jairo Rensch,3000,18,80,55,64,71,SUB,2019-03-29,2025,Netherlands,Right,1
RB Leipzig,Moriba Kourouma Kourouma,17000,18,72,70,64,73,SUB,2021-08-31,2026,Spain,Right,1
Villarreal CF,Yeremi JesÃºs Santos Pino,8000,18,71,66,70,73,SUB,2020-08-01,2024,Spain,Right,1
Al Nassr,Jaloliddin Masharipov,30000,27,80,64,70,78,LM,2021-01-16,2025,Uzbekistan,Right,1
AC Sparta Praha,Jakub PeÅ¡ek,1000,28,90,63,68,74,LM,2021-07-01,2024,Czech Republic,Right,1
Al Tai,Amir SÃ¢youd,18000,30,73,69,74,74,RM,2021-08-03,2023,Algeria,Left,1
Al Ain FC,Soufiane Rahimi,1000,25,85,74,67,71,LM,2021-08-24,2025,Morocco,Right,1
Ä°stanbul BaÅŸakÅŸehir FK,Hasan Ali KaldÄ±rÄ±m,23000,31,70,54,65,68,SUB,2020-08-08,2023,Turkey,Left,1
FC Girondins de Bordeaux,Jimmy Briand,15000,35,59,71,71,71,SUB,2018-08-10,2022,France,Right,2
FC Lorient,JÃ©rÃ©my Morel,9000,37,50,44,60,57,LCB,2020-07-01,2024,Madagascar,Left,2
Ã‡aykur Rizespor,GÃ¶khan GÃ¶nÃ¼l,7000,36,71,63,69,72,RCB,2021-07-16,2023,Turkey,Right,2
GaziÅŸehir Gaziantep F.K.,Muhammet Demir,13000,29,72,74,69,71,RS,2021-09-04,2024,Turkey,Right,1
IFK GÃ¶teborg,Oscar Wendt,3000,35,60,62,72,68,LB,2021-07-15,2022,Sweden,Left,1
Racing Club,DarÃ­o Cvitanich,11000,37,56,70,66,72,SUB,2019-01-21,2021,Argentina,Right,2
Toronto FC,Michael Bradley,6000,33,47,60,72,69,RDM,2014-01-10,2021,United States,Right,2
FC Luzern,Christian Gentner,9000,35,34,73,72,66,RCM,2021-07-01,2022,Germany,Right,2
Sheffield United,Billy Sharp,17000,35,56,74,62,65,RS,2015-07-25,2022,England,Right,1
AIK,Sebastian Bengt Ulf Larsson,5000,36,51,69,77,67,RCM,2018-07-15,2021,Sweden,Right,1
FCSB (Steaua),Claudiu Andrei KeÈ™erÃ¼,14000,34,71,74,66,70,ST,2021-08-31,2022,Romania,Left,1
Deportivo Toluca,Jorge Emmanuel Torres Nilo,14000,33,66,46,60,65,SUB,2021-01-01,2021,Mexico,Left,1
Preston North End,Scott Sinclair,24000,32,81,73,65,75,SUB,2020-01-08,2022,England,Right,1
Southampton,Shane Patrick Long,38000,34,81,69,61,72,SUB,2014-08-14,2022,Republic of Ireland,Right,2
Rayo Vallecano,Mario SuÃ¡rez Mata,13000,34,41,65,70,64,SUB,2019-01-31,2022,Spain,Right,2
Levante UniÃ³n Deportiva,Jorge AndÃºjar Moreno,17000,34,60,66,67,68,SUB,2018-07-02,2022,Spain,Right,2
PAOK,JosÃ© Ãngel Crespo RincÃ³n,950,34,68,40,66,61,SUB,2016-07-01,2022,Spain,Right,1
West Ham United,Winston Wiremu Reid,38000,32,40,51,45,41,SUB,2010-08-01,2023,New Zealand,Right,2
AmÃ©rica de Cali,Gustavo AdriÃ¡n Ramos VÃ¡squez,3000,35,69,72,64,68,LS,2020-01-05,2021,Colombia,Right,1
IFK GÃ¶teborg,Gustav Svensson,4000,34,36,45,61,63,LCM,2021-07-22,2023,Sweden,Right,1
Stoke City,Mario VranÄiÄ‡,21000,32,50,70,75,72,LCM,2021-07-05,2022,Bosnia and Herzegovina,Left,1
Dijon FCO,Lucas Deaux,4000,32,44,54,65,64,RDM,2021-07-30,2023,France,Right,2
PAOK,Fernando Lopes dos Santos Varela,950,33,63,44,54,59,RCB,2016-07-21,2022,Cape Verde Islands,Right,1
Udinese Calcio,Fernando MartÃ­n Forestieri,13000,31,75,71,69,75,SUB,2020-09-08,2022,Italy,Right,1
Fortuna DÃ¼sseldorf,Rouwen Hennings,19000,33,58,78,61,66,ST,2017-07-07,2022,Germany,Left,1
D.C. United,Ola Williams Kamara,7000,31,73,72,58,70,ST,2019-08-08,2021,Norway,Right,1
Yukatel Kayserispor,Mario GavranoviÄ‡,12000,31,62,72,59,71,RES,2021-08-11,2022,Switzerland,Right,1
Watford,Craig George Cathcart,32000,32,35,37,55,53,RB,2014-06-24,2023,Northern Ireland,Right,1
Ã‡aykur Rizespor,Fernando Henrique Boldrin,11000,32,66,69,70,71,SUB,2019-08-09,2022,Brazil,Left,1
Portland Timbers,Larrys Mabiala Destin,6000,33,43,44,51,51,SUB,2017-07-10,2021,Congo DR,Right,1
Ä°stanbul BaÅŸakÅŸehir FK,Alexandru Epureanu,23000,34,35,53,54,56,SUB,2014-07-11,2022,Moldova,Left,1
1. FC KÃ¶ln,Anthony Modeste,21000,33,62,72,63,69,RS,2019-02-14,2023,France,Right,2
AtakaÅŸ Hatayspor,RÃºben Tiago Rodrigues Ribeiro,11000,33,70,69,74,79,LCM,2020-08-18,2022,Portugal,Right,1
Club AtlÃ©tico PeÃ±arol,Walter Alejandro Gargano Guevara,600,36,67,52,63,65,LCM,2017-07-24,2021,Uruguay,Right,1
FCSB (Steaua),Paulo VinÃ­cius de Souza Nascimento,8000,36,39,52,55,53,RCB,2021-07-27,2022,Brazil,Right,1
ESTAC Troyes,Adil Rami,9000,35,46,48,53,58,SUB,2021-08-25,2022,France,Right,3
FC Basel 1893,Fabian Frei,10000,32,57,70,71,69,RDM,2018-01-01,2022,Switzerland,Right,1
Brentford,Mathias Jattah-Njie JÃ¸rgensen,29000,31,52,39,57,54,SUB,2021-09-09,2022,Denmark,Right,1
VfL Bochum 1848,Robert Tesche,16000,34,58,67,68,68,CDM,2018-06-25,2022,Germany,Right,1
Swansea City,Ryan Bennett,19000,31,38,25,46,36,CB,2020-10-16,2023,England,Right,1
LOSC Lille,JÃ©rÃ©my Pied,21000,32,59,64,72,72,SUB,2018-08-31,2022,France,Right,1
Club Tijuana,Brayan Alexis Angulo LeÃ³n,14000,31,78,54,62,68,LB,2021-01-01,2021,Colombia,Left,1
Standard de LiÃ¨ge,Mehdi Carcela-GonzÃ¡lez,13000,32,71,69,69,77,SUB,2018-07-01,2022,Morocco,Left,2
Legia Warszawa,TomÃ¡Å¡ Pekhart,9000,32,50,72,53,59,ST,2020-02-10,2022,Czech Republic,Right,1
Godoy Cruz,NicolÃ¡s Gabriel SÃ¡nchez,6000,35,38,52,59,60,SUB,2021-08-24,2022,Argentina,Right,1
Watford,Dan Gosling,35000,31,50,68,71,68,RES,2021-01-31,2023,England,Right,1
Lecce,Massimo Coda,4000,32,63,74,51,69,ST,2020-08-26,2022,Italy,Right,1
Inter Miami CF,Kieran Gibbs,6000,31,74,57,68,72,LB,2021-07-01,2022,England,Left,2
Panathinaikos FC,Federico Macheda,750,29,69,73,58,71,ST,2018-09-03,2023,Italy,Right,2
West Bromwich Albion,Kyle Bartley,27000,30,53,27,49,50,CB,2018-07-16,2023,England,Right,1
FÃºtbol Club JuÃ¡rez,Marco Jhonfai FabiÃ¡n De La Mora,9000,31,61,74,73,75,RES,2020-08-01,2022,Mexico,Right,1
San Lorenzo de Almagro,Franco MatÃ­as Di Santo,12000,32,68,71,66,70,ST,2020-07-13,2023,Argentina,Right,2
FC Vizela,Claudemir Domingues de Souza,5000,33,53,66,70,70,LDM,2021-07-27,2022,Brazil,Right,1
Queens Park Rangers,Stefan Marius Johansen,14000,30,65,67,73,71,LCM,2021-07-24,2024,Norway,Left,1
Club AmÃ©rica,Luis Fernando Fuentes Vargas,28000,34,72,57,67,67,LB,2020-08-26,2022,Mexico,Left,1
Santos Laguna,Hugo Isaac RodrÃ­guez De La O,14000,31,47,48,53,56,SUB,2019-01-01,2023,Mexico,Right,1
PFC CSKA Moscow,Viktor Vasin,26000,32,67,41,58,46,SUB,2011-01-01,2022,Russia,Right,1
Ä°ttifak Holding Konyaspor,Paul-JosÃ© M'Poku Ebunge,14000,29,71,72,74,73,CAM,2021-07-21,2023,Congo DR,Right,1
Ä°stanbul BaÅŸakÅŸehir FK,Fredrik Gulbrandsen,28000,28,86,70,61,74,ST,2019-07-03,2022,Norway,Right,1
Dijon FCO,Bruno Ã‰cuÃ©lÃ© Manga,4000,32,42,35,56,49,SUB,2019-07-19,2022,Gabon,Right,2
1. FSV Mainz 05,Daniel Brosinski,16000,32,70,59,69,69,SUB,2014-07-03,2022,Germany,Right,1
Ã‡aykur Rizespor,Yannick Bolasie Yala,11000,32,76,68,66,76,LM,2021-08-27,2023,Congo DR,Right,2
SV Sandhausen,Dennis Diekmeier,6000,31,82,40,64,64,RES,2019-01-03,2022,Germany,Right,1
Reading,David Junior Hoilett,21000,31,82,69,68,74,SUB,2021-08-19,2022,Canada,Right,2
Aytemiz Alanyaspor,Daniel JoÃ£o Santos Candeias,11000,33,75,64,69,72,RM,2021-06-01,2023,Portugal,Right,1
LA Galaxy,VÃ­ctor VÃ¡zquez Solsona,7000,34,38,68,76,73,SUB,2021-03-17,2021,Spain,Right,1
Trabzonspor,Bengali-FodÃ© Koita,20000,30,79,69,60,70,SUB,2021-06-24,2024,Guinea,Right,1
CA Osasuna,JonÃ¡s Ramalho Chimeno,18000,28,70,35,57,57,SUB,2021-07-05,2022,Angola,Right,1
FC Nantes,FÃ¡bio Pereira da Silva,17000,30,75,54,69,73,LB,2018-07-18,2022,Brazil,Right,2
Grenoble Foot 38,Yoric Ravet,7000,31,72,67,72,74,RM,2020-07-01,2023,France,Right,1
SD Eibar,Xabier Etxeita Gorritxategi,8000,33,39,35,49,56,SUB,2021-07-15,2022,Spain,Right,1
CD Tenerife,Miguel Alfonso Herrero Javaloyas,8000,32,44,66,78,72,RDM,2021-07-18,2023,Spain,Right,2
Ä°stanbul BaÅŸakÅŸehir FK,Danijel AleksiÄ‡,25000,30,71,74,74,74,LM,2019-08-29,2022,Serbia,Left,1
FC Schalke 04,GuÃ°laugur Victor PÃ¡lsson,9000,30,78,56,61,62,CM,2021-07-01,2023,Iceland,Right,1
SpVgg Greuther FÃ¼rth,HÃ¥vard Kallevik Nielsen,19000,27,79,70,67,71,CAM,2019-07-26,2022,Norway,Right,1
F.C. KÃ¸benhavn,Kamil Antoni Wilczek,17000,33,60,73,65,68,SUB,2020-08-06,2023,Poland,Left,1
Seattle Sounders FC,Fredy Henkyer Montero MuÃ±oz,7000,33,64,74,70,74,RF,2021-03-04,2021,Colombia,Right,2
Minnesota United FC,Osvaldo Alonso Moreno,4000,35,56,65,66,72,SUB,2019-02-13,2021,Cuba,Right,2
CFR Cluj,MÃ¡rio Jorge Malico Paulino,12000,34,72,57,68,64,LB,2011-07-07,2024,Romania,Left,1
Aarhus GF,Patrick Mortensen,13000,31,52,72,54,66,LS,2019-01-11,2023,Denmark,Right,1
Hannover 96,Bo Niklas Hult,18000,31,76,59,69,72,LB,2020-08-28,2022,Sweden,Left,1
Futebol Clube de FamalicÃ£o,RÃºben Alexandre Rocha Lima,7000,31,73,57,65,69,LB,2021-07-14,2024,Portugal,Left,1
Sydney FC,Rhyan Bert Grant,7000,30,74,62,67,69,RB,2009-09-01,2022,Australia,Right,1
Rosario Central,Milton Joel Caraglio,14000,32,41,74,61,68,SUB,2021-07-13,2022,Argentina,Left,1
Standard de LiÃ¨ge,Maxime Kristof Lestienne,14000,29,76,70,69,75,SUB,2018-07-25,2022,Belgium,Left,1
Trabzonspor,Yunus MallÄ±,20000,29,68,66,73,75,SUB,2021-01-31,2023,Turkey,Right,2
Benevento,Artur IoniÈ›Äƒ,13000,30,61,69,70,71,LCM,2020-09-01,2023,Moldova,Right,2
Brighton & Hove Albion,Shane Patrick Michael Duffy,35000,29,41,47,49,48,CB,2016-08-26,2023,Republic of Ireland,Right,1
RC Strasbourg Alsace,Maxime Le Marchand,15000,31,64,39,67,66,SUB,2021-08-27,2023,France,Left,1
Udinese Calcio,Marvin Zeegelaar,13000,30,72,62,68,73,SUB,2020-01-25,2022,Netherlands,Left,1
Millwall,Scott Malone,11000,30,73,63,64,70,LWB,2021-07-01,2023,England,Left,1
US Salernitana 1919,Joel Chukwuma Obi,28000,30,83,67,69,74,LCM,2021-07-21,2022,Nigeria,Left,1
Antalyaspor,Alfredo Kulembe Ribeiro,13000,31,87,65,67,74,CAM,2019-01-31,2022,Angola,Right,1
Deportivo La Guaira FC,Louis Ãngelo PeÃ±a Puentes,600,31,70,70,71,73,RES,2019-07-01,2022,Venezuela,Right,1
FC St. Pauli,Guido Burgstaller,15000,32,59,72,66,69,RS,2020-09-30,2023,Austria,Right,1
UniÃ³n Deportiva AlmerÃ­a,Francisco Portillo Soler,9000,31,64,69,74,73,SUB,2021-07-22,2023,Spain,Right,1
SK Rapid Wien,Thorsten Schick,21000,31,72,67,71,69,RM,2019-07-01,2022,Austria,Right,1
Stoke City,Sam Clucas,21000,30,70,70,71,70,SUB,2018-08-09,2023,England,Left,1
AS Monaco,Judilson Mamadu TuncarÃ¡ Gomes,30000,29,71,60,65,69,RES,2018-07-06,2023,Guinea Bissau,Right,1
SV Darmstadt 98,Lasse Sobiech,11000,30,37,51,47,43,RCB,2021-07-03,2022,Germany,Right,1
Minnesota United FC,JÃ¡n GreguÅ¡,6000,30,64,68,73,69,RDM,2019-02-13,2022,Slovakia,Right,1
AEK Athens,Ehsan Haji Safi,900,31,76,67,70,73,LB,2021-08-02,2023,Iran,Left,1
Club Universitario de Deportes,Alberto Abdiel Quintero Medina,950,33,80,65,64,75,RS,2019-01-07,2022,Panama,Right,1
Qingdao FC,JagoÅ¡ VukoviÄ‡,10000,33,33,46,55,51,LCB,2020-02-28,2022,Serbia,Left,1
ATK Mohun Bagan FC,Roy Krishna,3000,33,90,72,66,73,LS,2019-06-18,2022,Fiji,Right,1
Queens Park Rangers,Charlie Austin,15000,31,50,75,57,66,RS,2021-07-01,2023,England,Right,1
FC Girondins de Bordeaux,Edson AndrÃ© Sitoe,17000,32,39,48,57,63,SUB,2019-07-01,2023,Mozambique,Right,2
Cardiff City,Marlon Pack,22000,30,51,60,71,69,RCM,2019-08-08,2022,England,Right,1
BeÅŸiktaÅŸ JK,OÄŸuzhan Ã–zyakup,30000,28,64,68,77,77,SUB,2012-06-08,2022,Turkey,Right,2
Swansea City,Jake Bidwell,20000,28,68,43,67,65,LWB,2019-07-02,2022,England,Left,1
AS Saint-Ã‰tienne,Gabriel MoisÃ©s Antunes da Silva,20000,30,67,59,71,70,SUB,2017-08-09,2023,Brazil,Left,1
AC Monza,Giulio Donati,4000,31,69,42,61,66,SUB,2020-09-01,2023,Italy,Right,2
Stade Rennais FC,Jonas Martin,29000,31,56,67,73,71,SUB,2019-09-02,2022,France,Right,2
SV Sandhausen,Pascal Testroet,8000,30,63,74,57,66,SUB,2021-07-08,2025,Germany,Right,1
Al Ain FC,Caio Canedo CorrÃªa,950,30,80,72,65,75,SUB,2019-07-09,2022,United Arab Emirates,Right,1
AEK Athens,Sergio Ezequiel AraÃºjo,1000,29,74,75,61,73,ST,2021-07-16,2024,Argentina,Right,1
Real Valladolid CF,RaÃºl GarcÃ­a Carnero,8000,32,66,63,69,64,SUB,2020-08-04,2023,Spain,Left,1
IF Elfsborg,Johan Erik Larsson,4000,31,81,63,69,68,RB,2020-02-26,2022,Sweden,Right,1
VfL Bochum 1848,Cristian Esteban Gamboa Luna,16000,31,84,48,66,71,RB,2019-08-27,2023,Costa Rica,Right,1
Molde FK,Martin Linnes,6000,29,86,57,64,73,RB,2021-08-17,2025,Norway,Right,1
Columbus Crew,Jonathan Mensah,6000,30,63,46,56,55,RCB,2017-01-03,2025,Ghana,Right,2
KV Kortrijk,Trent Lucas Sainsbury,11000,29,69,57,56,54,RCB,2020-08-19,2022,Australia,Right,1
Sheffield United,Jack Robinson,19000,27,69,41,60,61,SUB,2020-01-21,2022,England,Left,1
Jeonbuk Hyundai Motors,ê¹€ë³´ê²½ é‡‘ç”«ç‚…,9000,31,78,68,71,74,RCM,2020-01-05,2022,Korea Republic,Left,1
Ulsan Hyundai FC,ê¹€íƒœí™˜ é‡‘æ³°ä¸‡,8000,31,91,57,61,69,RB,2015-02-02,2022,Korea Republic,Right,1
FC Viktoria PlzeÅˆ,LukÃ¡Å¡ Hejda,750,31,61,35,53,58,LCB,2012-07-12,2022,Czech Republic,Right,1
Udinese Calcio,Ilija Nestorovski,14000,31,68,74,52,69,RES,2019-07-26,2022,North Macedonia,Left,1
VfL Bochum 1848,Anthony Losilla,12000,35,53,57,64,70,RCM,2014-07-01,2022,France,Right,1
MÃ¡laga CF,Pablo ChavarrÃ­a,8000,33,67,72,68,73,SUB,2020-09-28,2023,Argentina,Right,1
Al Shabab,SebastiÃ£o de Freitas Couto JÃºnior,25000,29,86,71,66,71,RM,2019-01-15,2022,Brazil,Left,1
Stade Malherbe Caen,Yoann Court,6000,31,67,65,73,73,RM,2020-09-18,2022,France,Left,1
AZ Alkmaar,Jordy Clasie,8000,30,58,61,75,72,SUB,2019-07-22,2024,Netherlands,Right,2
FC Augsburg,Michael Gregoritsch,19000,27,60,73,72,70,SUB,2017-07-05,2022,Austria,Left,2
Club Necaxa,Ãngel Baltazar SepÃºlveda SÃ¡nchez,12000,30,77,69,67,71,SUB,2021-07-28,2025,Mexico,Right,1
New York Red Bulls,Daniel Royer,7000,31,80,73,65,75,SUB,2016-08-03,2021,Austria,Right,1
Fortuna DÃ¼sseldorf,AndrÃ© Hoffmann,17000,28,52,38,56,56,SUB,2017-07-01,2023,Germany,Right,1
Minnesota United FC,Romain MÃ©tanire,6000,31,76,31,64,67,RB,2019-02-13,2022,Madagascar,Right,1
FC Lugano,Numa Lavanchy,8000,27,83,62,66,70,RM,2019-02-01,2022,Switzerland,Right,1
Sport-Club Freiburg,Nicolas HÃ¶fler,18000,31,64,47,65,66,LDM,2010-07-01,2025,Germany,Right,2
F.C. KÃ¸benhavn,Nicolai MÃ¸ller Boilesen,15000,29,69,51,65,69,LCB,2016-08-25,2023,Denmark,Left,1
Norwich City,Ben Gibson,23000,28,53,29,49,52,LCB,2021-07-01,2024,England,Left,1
RSC Anderlecht,Benito Raman,18000,26,85,73,65,75,RS,2021-07-15,2024,Belgium,Right,1
1. FC NÃ¼rnberg,Christopher Schindler,9000,31,57,32,57,55,RCB,2021-07-01,2023,Germany,Right,1
Rangers FC,John David Lundstram,35000,27,64,67,67,69,SUB,2021-07-05,2024,England,Right,1
Toulouse Football Club,Brecht Dejaegere,6000,30,74,61,71,76,LCM,2021-06-01,2025,Belgium,Right,1
Stoke City,Nick Powell,21000,27,67,71,68,73,RCM,2019-07-01,2022,England,Right,1
Bristol City,TomÃ¡Å¡ Kalas,23000,28,71,48,54,64,RCB,2019-07-01,2023,Czech Republic,Right,1
Al Batin,Afriyie Acquah,12000,29,77,63,67,72,LCM,2021-07-06,2023,Ghana,Right,1
LA Galaxy,Sebastian Francisco Lletget,7000,28,71,64,72,75,CAM,2015-05-08,2021,United States,Right,1
Fatih KaragÃ¼mrÃ¼k S.K.,Ahmed Musa,12000,28,92,66,63,74,SUB,2021-07-22,2025,Nigeria,Right,2
KasimpaÅŸa SK,Valentin Eysseric,12000,29,64,70,75,75,RDM,2021-07-23,2023,France,Right,2
Preston North End,Daniel Johnson,26000,28,74,71,71,73,CAM,2015-01-23,2023,Jamaica,Left,1
Fortuna DÃ¼sseldorf,Felix Klaus,18000,28,72,68,67,75,RM,2021-01-29,2023,Germany,Right,1
New York City FC,Alfredo Morales,6000,31,60,58,67,67,RDM,2021-04-07,2023,United States,Right,1
Genoa,Stefano Sturaro,13000,28,68,67,70,72,SUB,2019-02-06,2022,Italy,Right,2
Jeonbuk Hyundai Motors,í•œêµì› éŸ©æ•™å…ƒ,9000,31,89,68,64,72,SUB,2014-01-05,2023,Korea Republic,Right,1
Adelaide United,IsaÃ­as SÃ¡nchez CortÃ©s,4000,34,49,54,72,72,SUB,2021-08-23,2024,Spain,Right,1
FC Tokyo,Weverson Leandro Oliveira Moura,9000,28,82,72,71,71,CAM,2021-01-09,2022,Brazil,Right,1
West Bromwich Albion,Conor Townsend,29000,28,71,46,65,68,LWB,2018-07-28,2024,England,Left,1
Universidad CatÃ³lica,Felipe Alejandro GutiÃ©rrez Leiva,10000,30,65,69,73,75,LCM,2021-03-19,2022,Chile,Left,1
ESTAC Troyes,Yoann Touzghar,15000,34,71,73,61,72,ST,2018-07-01,2022,Tunisia,Right,1
GaziÅŸehir Gaziantep F.K.,Stelios Kitsiou,10000,27,77,61,66,72,RWB,2021-08-12,2023,Greece,Right,1
Hannover 96,Tom Trybull,19000,28,58,47,64,67,SUB,2021-08-27,2022,Germany,Right,1
Chelsea,Charly Musonda Junior,51000,24,78,63,69,79,RES,2013-10-24,2022,Belgium,Right,1
SD Huesca,Juan Carlos Real Ruiz,10000,30,63,65,73,73,SUB,2021-08-25,2023,Spain,Right,1
Futebol Clube de FamalicÃ£o,Diogo JosÃ© RosÃ¡rio Gomes Figueiras,7000,30,82,60,66,74,RB,2021-01-21,2022,Portugal,Right,1
Preston North End,Patrick Bauer,23000,28,32,45,53,46,CB,2019-07-01,2022,Germany,Right,1
CD LeganÃ©s,RubÃ©n Pardo GutiÃ©rrez,10000,28,53,69,75,72,SUB,2021-08-30,2023,Spain,Right,2
Real Valladolid CF,Pablo HervÃ­as Rubio,9000,28,80,67,68,74,SUB,2019-07-01,2022,Spain,Right,1
Cruz Azul,VÃ­ctor Yoshimar YotÃºn Flores,39000,31,64,66,75,73,LCM,2019-01-01,2022,Peru,Left,1
VÃ©lez Sarsfield,Ricardo Gabriel Ãlvarez,11000,33,64,67,77,80,SUB,2020-01-28,2022,Argentina,Left,2
Cruz Azul,Rafael Baca Miranda,39000,31,76,60,71,72,SUB,2013-12-23,2022,Mexico,Right,1
RCD Espanyol de Barcelona,Ãlvaro Vadillo Cifuentes,14000,26,83,68,67,75,RES,2021-06-01,2024,Spain,Right,1
FC Tokyo,Diego Queiroz de Oliveira,10000,31,76,72,69,71,ST,2018-12-06,2022,Brazil,Right,1
SD Huesca,David Ferreiro Quiroga,10000,33,85,68,72,75,LM,2016-07-01,2023,Spain,Right,1
Al Faisaly,Igor Rossi Branco,11000,32,41,30,54,53,LCB,2017-01-14,2022,Brazil,Left,1
FC Viktoria PlzeÅˆ,Jan Kopic,900,31,76,70,70,71,SUB,2015-07-01,2022,Czech Republic,Right,1
Ulsan Hyundai FC,Valeri Qazaishvili,9000,28,72,71,66,77,LM,2021-02-16,2023,Georgia,Right,1
SK Slavia Praha,Michael KrmenÄÃ­k,850,28,68,72,59,68,SUB,2020-01-30,2023,Czech Republic,Right,1
UniÃ³n Deportiva Las Palmas,Ãlvaro Lemos Collazo,7000,28,81,64,65,70,SUB,2018-07-02,2022,Spain,Right,1
Colorado Rapids,Jack Alexander Price,6000,28,48,47,73,65,RCM,2018-02-07,2025,England,Right,1
Al Tai,Dener Gomes Clemente,16000,29,65,67,68,70,LDM,2021-07-19,2023,Brazil,Right,1
Al Raed,Christian Atsu Twasam,17000,29,82,66,68,75,RW,2021-07-17,2025,Ghana,Left,1
U.C. Sampdoria,Nicola Murru,13000,26,71,40,61,69,SUB,2017-07-01,2024,Italy,Left,1
RSC Anderlecht,Isaac Kiese Thelin,18000,29,58,71,61,66,SUB,2017-08-31,2022,Sweden,Right,1
Newcastle United,Jacob Murphy,27000,26,78,67,68,74,RWB,2017-07-19,2022,England,Right,1
Orlando City Soccer Club,Ocimar de Almeida JÃºnior,6000,32,67,64,64,70,RDM,2020-01-13,2021,Brazil,Right,1
Elche CF,Pedro Bigas Rigo,13000,30,66,52,59,61,LCB,2021-07-07,2023,Spain,Left,1
SpVgg Greuther FÃ¼rth,Jeremy Dudziak,17000,25,75,62,72,77,SUB,2021-08-16,2024,Tunisia,Left,1
ESTAC Troyes,Tristan DingomÃ©,14000,30,63,64,72,74,SUB,2020-10-05,2023,France,Left,1
FerencvÃ¡rosi TC,Bi Sylvestre Franck Fortune Boli,900,27,76,72,48,70,SUB,2019-08-05,2022,CÃ´te d'Ivoire,Right,1
Karlsruher SC,Philipp Hofmann,13000,28,55,73,50,60,ST,2019-07-01,2022,Germany,Left,1
FC Dallas,Matt Hedges,6000,31,42,28,51,53,SUB,2012-01-01,2022,United States,Right,1
Nagoya Grampus,Jakub Åšwierczok,6000,28,72,72,50,72,SUB,2021-07-20,2022,Poland,Right,1
Kashiwa Reysol,Cristiano da Silva,9000,34,77,71,69,69,RF,2016-06-26,2022,Brazil,Right,1
MÃ¡laga CF,Alexander David GonzÃ¡lez Sibulo,7000,28,80,65,64,71,SUB,2021-01-04,2022,Venezuela,Right,1
SV Werder Bremen,Anthony Jung,9000,29,72,60,66,65,LB,2021-07-01,2023,Germany,Left,1
Celtic,Tomas Petar RogiÄ‡,36000,28,66,71,70,74,RCM,2013-01-09,2023,Australia,Left,1
Real Sporting de GijÃ³n,Aitor GarcÃ­a Flores,8000,27,84,71,67,72,RM,2019-07-01,2023,Spain,Right,1
CF Monterrey,Arturo Alfonso GonzÃ¡lez GonzÃ¡lez,31000,26,74,69,73,71,LCM,2016-06-14,2022,Mexico,Left,1
